modelid,year,hpwt,size,air,mpd,price,share,firmid,s0,logdif,ownprice_OLS,const,own_const,own_hpwt,own_air,own_mpd,own_size,all_const,all_hpwt,all_air,all_mpd,all_size
LCMRKI,71,0.7295623,1.736,0,1.9704808,21.7604938,4.474e-4,18,0.8801065,-7.584345152802974,-1.9287981716983038,1,14,7.3780667,0,24.9175138,22.2497,77,38.817874,0,149.1701786,108.71560000000001
MB220/,71,0.4097222,1.295,0,1.8581044,13.1160494,4.06e-5,9,0.8801065,-9.984030135251315,-1.1625752767901174,1,3,1.5463951999999999,0,5.001304899999999,3.7729999999999997,88,44.9693856,0,169.1987639,127.63330000000002
MB2200,71,0.398514,1.295,0,1.8202747,13.3802469,9.02e-5,9,0.8801065,-9.185768774790423,-1.185993111865499,1,3,1.5576033999999999,0,5.0391346,3.7729999999999997,88,44.9693856,0,169.1987639,127.63330000000002
MB256/,71,0.5252593,1.295,0,1.530989,15.7481481,9.96e-5,9,0.8801065,-9.08663603726845,-1.3958782159122747,1,3,1.4308581,0,5.3284202999999994,3.7729999999999997,88,44.969385599999995,0,169.1987639,127.63330000000002
MB280S,71,0.6226219,1.183,0,1.6500412,18.4419753,2.149e-4,9,0.8801065,-8.317625398210538,-1.634652621768412,1,3,1.3334955,0,5.209368099999999,3.885,88,44.9693856,0,169.1987639,127.6333
MCCOME,71,0.3828484,1.3419,0,2.1273626,5.637037,9.355e-4,18,0.8801065,-6.8467170561448585,-0.4996534894532445,1,14,7.724780599999999,0,24.760631999999998,22.643800000000002,77,38.817874,0,149.1701786,108.7156
MCCOUG,71,0.7205044,1.4972,0,1.6578297,8.1209877,7.476e-4,18,0.8801065,-7.070930126277595,-0.719824943868894,1,14,7.387124599999999,0,25.2301649,22.488500000000002,77,38.817873999999996,0,149.17017859999999,108.71560000000001
MCMARQ,71,0.5982513,1.8,0,1.6300137,11.0469136,0.0011278,18,0.8801065,-6.659774090485921,-0.9791720238714954,1,14,7.509377699999999,0,25.2579809,22.1857,77,38.817873999999996,0,149.17017859999999,108.7156
MCMONT,71,0.4491945,1.638,0,1.6489286,6.8592593,8.613e-4,18,0.8801065,-6.929355326063875,-0.60798835351082825,1,14,7.658434499999999,0,25.239065999999998,22.347700000000003,77,38.817874,0,149.17017859999999,108.7156
MCMONT,71,0.5956813,1.8,0,1.5332143,9.5259259,4.689e-4,18,0.8801065,-7.537408675763462,-0.8443553086857579,1,14,7.5119476999999995,0,25.354780299999998,22.1857,77,38.817873999999996,0,149.1701786,108.7156
MZ616,71,0.4367246,1.0106,0,2.5423764,5.4197531,4.5e-5,4,0.8801065,-9.881135712088682,-0.48039396377743115,1,0,0,0,0,0,91,46.4887784,0,173.5157968,131.6907
OD98,71,0.7163645,1.7933,0,1.8625549,11.9802469,0.0016992,19,0.8801065,-6.249885370811383,-1.0619004572963446,1,28,16.6993154,0,49.1852473,45.9524,63,29.509823100000002,0,125.010371,84.95560000000002
ODCUTL,71,0.4458795,1.6016,0,1.8647802,7.4049383,0.0037666,19,0.8801065,-5.4538701850983555,-0.656356036119858,1,28,16.9698004,0,49.183022,46.1441,63,29.509823100000002,0,125.01037099999999,84.9556
ODDELT,71,0.5783133,1.768,0,1.7301511,9.8395062,0.0017,19,0.8801065,-6.249414671814695,-0.8721503171483235,1,28,16.8373666,0,49.3176511,45.9777,63,29.509823100000002,0,125.01037099999999,84.9556
ODTORN,71,0.7739938,1.76,0,1.9204121,13.4740741,5.807e-4,19,0.8801065,-7.323563929480999,-1.1943097306646353,1,28,16.6416861,0,49.1273901,45.9857,63,29.5098231,0,125.010371,84.9556
OP36,71,0.3335319,1.053,0,2.6124725,4.6987654,3.3e-5,26,0.8801065,-10.191290640392522,-0.41648733691692463,1,0,0,0,0,0,91,46.5919711,0,173.4457007,131.6483
PG504,71,0.3643564,1.1682,0,2.0873077,8.5876543,5.35e-5,14,0.8801065,-9.708116547957042,-0.761189156149438,1,0,0,0,0,0,91,46.5611466,0,173.9708655,131.5331
PLBARC,71,0.4152824,1.4025,0,1.6678434,6.5530864,2.886e-4,16,0.8801065,-8.022756555519232,-0.5808499192835881,1,13,6.7889564,0,21.981263900000002,20.7193,78,39.72126419999999,0,152.40906589999997,110.5795
PLFURY,71,0.391363,1.728,0,1.4175,7.7679012,4.296e-4,16,0.8801065,-7.624943658664348,-0.6885282002420855,1,13,6.8128758,0,22.2316073,20.3938,78,39.7212642,0,152.4090659,110.5795
PLSATL,71,0.4462912,1.6195,0,1.6021978,6.7506173,0.0017255,16,0.8801065,-6.234526059320944,-0.5983585862410411,1,13,6.7579476,0,22.0469095,20.5023,78,39.7212642,0,152.4090659,110.57950000000001
PLVALA,71,0.4409171,1.3608,0,1.8525412,5.9061728,0.0036957,16,0.8801065,-5.472872941222965,-0.5235090436400966,1,13,6.7633217,0,21.7965661,20.761,78,39.7212642,0,152.4090659,110.5795
PS911,71,0.6344951,1.0496,0,1.9526786,16.037037,7.99e-5,12,0.8801065,-9.307022349086774,-1.4214846376812484,1,1,0.430816,0,2.2809066000000002,1.0205,90,45.8601919,0,171.82458799999998,130.6312
PS914,71,0.430816,1.0205,0,2.2809066,8.8765432,1.579e-4,12,0.8801065,-8.625836280597406,-0.7867955779184116,1,1,0.6344951,0,1.9526786000000005,1.0496,90,45.8601919,0,171.82458799999998,130.6312
PTBNNV,71,0.6646095,1.8,0,1.5343269,10.3950617,6.062e-4,19,0.8801065,-7.2805882372353,-0.9213934291165332,1,28,16.7510704,0,49.513475299999996,45.9457,63,29.509823100000002,0,125.010371,84.95559999999999
PTCATL,71,0.613196,1.768,0,1.469794,9.308642,0.0024072,19,0.8801065,-5.901578676543167,-0.8250957830099446,1,28,16.802483900000002,0,49.5780082,45.9777,63,29.509823099999995,0,125.01037099999999,84.9556
PTFIRB,71,0.4582807,1.4208,0,1.6044231,7.5234568,7.911e-4,19,0.8801065,-7.014373819831652,-0.6668612327488254,1,28,16.9573992,0,49.4433791,46.3249,63,29.509823099999995,0,125.010371,84.95559999999999
PTGRNP,71,0.7765985,1.6401,0,1.733489,11.2518519,0.0010586,19,0.8801065,-6.723095642435116,-0.9973372650642738,1,28,16.639081400000002,0,49.3143132,46.1056,63,29.5098231,0,125.010371,84.9556
PTLEMA,71,0.4490554,1.5939,0,1.6578297,7.2222222,0.0024444,19,0.8801065,-5.886243228838242,-0.6401605176330558,1,28,16.966624500000002,0,49.3899725,46.1518,63,29.5098231,0,125.01037099999999,84.9556
PTVNTU,71,0.620181,1.4235,0,1.7468407,6.1432099,7.183e-4,19,0.8801065,-7.1109108927782465,-0.5445194457617923,1,28,16.795498900000002,0,49.3009615,46.3222,63,29.509823099999995,0,125.01037099999999,84.9556
RNR10,71,0.293655,1.002,0,2.5535027,4.5555556,1.105e-4,24,0.8801065,-8.982782680901195,-0.40379356245812625,1,0,0,0,0,0,91,46.631848,0,173.5046705,131.6993
SA99,71,0.3493976,1.1352,0,2.1229121,8.3333333,3.52e-5,11,0.8801065,-10.12675211925495,-0.7386467504332366,1,0,0,0,0,0,91,46.576105399999996,0,173.9352611,131.5661
TYCELI,71,0.4273128,1.0332,0,2.3354258,6.4148148,2.635e-4,1,0.8801065,-8.113744833877584,-0.5685938550724994,1,4,1.8032146000000002,0,9.0457418,4.3237,87,44.6949756,0,164.6770056,127.34440000000001
TYCORO,71,0.4501279,0.948,0,2.5846566,4.9209877,0.0017463,1,0.8801065,-6.222543658913203,-0.43618459056796965,1,4,1.7803995000000001,0,8.796510999999999,4.408899999999999,87,44.6949756,0,164.6770056,127.3444
TYCORO,71,0.4976959,1.0354,0,2.3888324,5.308642,0.0010177,1,0.8801065,-6.7624977436611164,-0.4705453413837891,1,4,1.7328315,0,8.9923352,4.3214999999999995,87,44.6949756,0,164.67700559999997,127.3444
TYCRMK,71,0.4675325,1.1008,0,2.2987088,5.6296296,0.0011712,1,0.8801065,-6.622014058651955,-0.4989969152179191,1,4,1.7629949000000003,0,9.0824588,4.2561,87,44.6949756,0,164.6770056,127.34440000000001
TYCROW,71,0.3878583,1.2395,0,1.773544,7.0345679,5.9e-5,1,0.8801065,-9.610260757953283,-0.623527288898544,1,4,1.8426691000000002,0,9.6076236,4.1174,87,44.6949756,0,164.6770056,127.34440000000001
VV144,71,0.3761148,1.2627,0,2.1829945,8.3209877,1.615e-4,6,0.8801065,-8.603293059196291,-0.7375524659502016,1,1,0.441331,0,2.0828570999999996,1.2648,90,46.1080572,0,171.79232159999998,130.1738
VV164,71,0.441331,1.2648,0,2.0828571,10.2345679,1.453e-4,6,0.8801065,-8.708997631282765,-0.9071676421994683,1,1,0.3761148,0,2.1829944999999995,1.2627,90,46.1080572,0,171.79232159999998,130.1738
VW411,71,0.3282937,1.1946,0,2.0606044,7.4049383,3.716e-4,7,0.8801065,-7.769980194919319,-0.656356036119858,1,4,1.5134528,0,9.357280200000002,4.447,87,45.08375649999999,0,164.64028860000002,127.05969999999999
VWBEET,71,0.3191489,0.9699,0,2.6925824,4.5555556,0.0053179,7,0.8801065,-5.1089644342945135,-0.40379356245812625,1,4,1.5225976,0,8.725302200000002,4.6717,87,45.0837565,0,164.64028860000002,127.0597
VWSQB,71,0.2406293,1.1008,0,2.4800687,6.417284,0.0012028,7,0.8801065,-6.595390750744629,-0.5688127190601152,1,4,1.6011172000000002,0,8.9378159,4.540800000000001,87,45.0837565,0,164.6402886,127.0597
AD90,72,0.4191896,1.1136,0,2.3123158,7.6435407,3.998e-4,7,0.8713955,-7.686886806482104,-0.6775051826931231,1,3,0.8880719000000001,0,7.4441053,3.2653,85,34.920690699999994,4,158.545895,125.37890000000002
AMAMBS,72,0.4240882,1.6536,0,1.6604211,9.2942584,4.384e-4,15,0.8713955,-7.594719492914598,-0.8238208550769011,1,4,1.4356344,0,8.5105264,5.4942,84,34.3682296,4,158.13136859999997,122.60999999999999
AMGREM,72,0.4009623,1.1502,0,2.2532632,4.7822967,0.0014679,15,0.8713955,-6.386263141585216,-0.4238913517430763,1,4,1.4587603,0,7.9176843,5.9976,84,34.36822959999999,4,158.1313686,122.60999999999999
AMHORN,72,0.3716091,1.278,0,2.1617895,5.4186603,7.952e-4,15,0.8713955,-6.999257573206039,-0.4802971005967788,1,4,1.4881134999999999,0,8.009158000000001,5.8698,84,34.3682296,4,158.13136859999997,122.61000000000001
AMJAVL,72,0.3477051,1.4592,0,1.9649474,6.715311,3.832e-4,15,0.8713955,-7.729294182451698,-0.5952291201767447,1,4,1.5120175,0,8.2060001,5.6886,84,34.3682296,4,158.13136859999997,122.61
AMMATA,72,0.3153579,1.6068,0,2.1305263,6.6602871,5.32e-4,15,0.8713955,-7.401207739206759,-0.5903519331654964,1,4,1.5443647,0,8.0404212,5.541,84,34.36822959999999,4,158.13136859999997,122.61000000000001
AR2000,72,0.5282555,1.0726,0,2.0367368,10.1770335,2.9e-5,20,0.8713955,-10.310555398561931,-0.9020679304672944,1,0,0,0,0,0,88,35.6996967,4,166.26557929999998,128.6852
BKCNTU,72,0.5106673,1.768,0,1.4207368,10.784689,4.574e-4,19,0.8713955,-7.552292946959723,-0.9559290619376849,1,27,11.272747,0,43.3145264,44.5238,61,24.444537899999993,4,123.5670529,83.46600000000001
BKELCT,72,0.4983389,1.816,0,1.3269474,11.6985646,0.0024542,19,0.8713955,-5.8722951070059555,-1.0369328113305267,1,27,11.2850754,0,43.4083158,44.4758,61,24.444537899999997,4,123.5670529,83.46600000000001
BKLSAB,72,0.3570578,1.768,0,1.5110526,9.4688995,0.0024512,19,0.8713955,-5.873518249002131,-0.8393006248596703,1,27,11.4263565,0,43.2242106,44.5238,61,24.444537899999997,4,123.5670529,83.46600000000001
BKRIVE,72,0.575639,1.744,0,1.3605263,12.3181818,0.0094728,19,0.8713955,-4.521671415531657,-1.0918541993053172,1,27,11.2077753,0,43.3747369,44.5478,61,24.444537899999993,4,123.56705289999998,83.46600000000001
BWBAVR,72,0.6629449,1.2765,0,1.8815789,13.2894737,3.993e-4,8,0.8713955,-7.688138214479228,-1.1779471923285443,1,0,0,0,0,0,88,35.5650073,4,166.4207372,128.4813
CDCALA,72,0.4682844,1.816,0,1.2725263,14.2057416,1.013e-4,19,0.8713955,-9.059764817293766,-1.2591629894767615,1,27,11.3151299,0,43.462736899999996,44.4758,61,24.444537899999993,4,123.56705289999998,83.46600000000001
CDDEVI,72,0.4619908,1.816,0,1.2528421,15.2870813,0.0027395,19,0.8713955,-5.7623205275699325,-1.3550103565224854,1,27,11.3214235,0,43.482421099999996,44.4758,61,24.444537899999993,4,123.56705289999998,83.46600000000001
CDELDR,72,0.5019223,1.784,0,1.1949474,17.2966507,5.873e-4,19,0.8713955,-7.302315466019929,-1.5331337860845873,1,27,11.281492,0,43.5403158,44.5078,61,24.4445379,4,123.5670529,83.466
CDFLTW,72,0.4528613,1.84,0,1.2528421,18.2703349,2.911e-4,19,0.8713955,-8.004184377796827,-1.6194388268631899,1,27,11.330553,0,43.482421099999996,44.4518,61,24.444537899999993,4,123.56705289999998,83.46600000000001
CPSPOR,72,0.3038898,1.092,0,2.1687368,6.0478469,2.33e-5,25,0.8713955,-10.52939786797675,-0.5360666973205936,1,0,0,0,0,0,88,35.9240624,4,166.13357929999998,128.6658
CRNEWP,72,0.4639805,1.8,0,1.4404211,9.6913876,0.0011156,16,0.8713955,-6.66070357279507,-0.8590214383875615,1,12,4.6874018,1,21.0690527,18.828699999999998,76,31.0765699,3,145.79284229999996,109.12910000000001
CRNEWY,72,0.5190311,1.8,0,1.3836842,11.638756,2.5e-4,16,0.8713955,-8.156390310686158,-1.0316315199447663,1,12,4.6323512,1,21.125789599999997,18.828699999999998,76,31.0765699,3,145.7928423,109.12910000000001
CVBELA,72,0.2854177,1.76,0,1.5828421,7.6650718,5.91e-4,19,0.8713955,-7.296035211142305,-0.67941364794654735,1,27,11.4979966,0,43.1524211,44.531800000000004,61,24.444537899999993,4,123.5670529,83.466
CVBISC,72,0.2851957,1.76,0,1.8317895,7.354067,2.286e-4,19,0.8713955,-8.245877477187694,-0.6518469256495838,1,27,11.498218600000001,0,42.9034737,44.531800000000004,61,24.444537899999993,4,123.56705289999996,83.466
CVCAMA,72,0.3524511,1.41,0,1.8028421,6.5311005,6.876e-4,19,0.8713955,-7.144643955039709,-0.578901141644951,1,27,11.4309632,0,42.9324211,44.881800000000005,61,24.444537899999993,4,123.5670529,83.46600000000001
CVCAPR,72,0.4070881,1.76,0,1.3697895,9.5909091,0.0026856,19,0.8713955,-5.782191782882578,-0.8501152642503279,1,27,11.376326200000001,0,43.365473699999995,44.531800000000004,61,24.444537899999993,4,123.5670529,83.466
CVCHEV,72,0.3433208,1.5352,0,1.8943158,6.3062201,0.0046944,19,0.8713955,-5.223725640599741,-0.5589682803616843,1,27,11.4400935,0,42.8409474,44.7566,61,24.444537899999997,4,123.5670529,83.46600000000001
CVCORV,72,0.622084,1.2627,0,1.7391579,13.0909091,3.838e-4,19,0.8713955,-7.727729644974803,-1.1603469006732139,1,27,11.161330300000001,0,42.996105299999996,45.0291,61,24.444537899999993,4,123.56705289999998,83.46600000000001
CVIMPA,72,0.2800407,1.76,0,1.5538947,8.0598086,0.0083357,19,0.8713955,-4.649548453686541,-0.7144021746380712,1,27,11.5033736,0,43.1813685,44.531800000000004,61,24.444537899999997,4,123.5670529,83.466
CVMNTC,72,0.4706218,1.5732,0,1.8503158,8.0430622,0.0029636,19,0.8713955,-5.6836912040059016,-0.7129178137591591,1,27,11.3127925,0,42.8849474,44.7186,61,24.4445379,4,123.56705289999998,83.46599999999998
CVNOVA,72,0.3688799,1.387,0,2.0147368,5.6913876,0.0046645,19,0.8713955,-5.230115302147388,-0.504470996761406,1,27,11.4145344,0,42.7205264,44.9048,61,24.444537899999993,4,123.56705289999998,83.46600000000001
CVVEGA,72,0.3707136,1.122,0,2.3933684,4.9282297,0.003886,19,0.8713955,-5.412715598611018,-0.43682650414253377,1,27,11.4127007,0,42.3418948,45.1698,61,24.444537899999993,4,123.5670529,83.46599999999998
