model,group,year,month,i,xt,xt1,odometer,xtmxt1,bxt,bxt1,xtchange,frag
4406,1,84,4,0,25748,26674,26674,926,6,6,0,0
4406,1,84,5,0,26674,29321,29321,2647,6,6,0,0
4406,1,84,6,0,29321,31152,31152,1831,6,7,1,1
4406,1,84,7,0,31152,34233,34233,3081,7,7,0,0
4406,1,84,8,0,34233,37480,37480,3247,7,8,1,1
4406,1,84,9,0,37480,41400,41400,3920,8,9,1,1
4406,1,84,10,0,41400,44822,44822,3422,9,9,0,0
4406,1,84,11,0,44822,47244,47244,2422,9,10,1,1
4406,1,84,12,0,47244,50633,50633,3389,10,11,1,1
4406,1,85,1,0,50633,54712,54712,4079,11,11,0,0
4406,1,85,2,0,54712,57620,57620,2908,11,12,1,1
4406,1,85,3,0,57620,60246,60246,2626,12,13,1,1
4406,1,85,4,0,60246,62881,62881,2635,13,13,0,0
4406,1,85,5,0,62881,65643,65643,0,13,14,1,1
4407,1,83,5,0,0,586,586,586,1,1,0,0
4407,1,83,6,0,586,1069,1069,483,1,1,0,0
4407,1,83,7,0,1069,5574,5574,4505,1,2,1,1
4407,1,83,8,0,5574,10279,10279,4705,2,3,1,1
4407,1,83,9,0,10279,14819,14819,4540,3,3,0,0
4407,1,83,10,0,14819,18742,18742,3923,3,4,1,1
4407,1,83,11,0,18742,22962,22962,4220,4,5,1,1
4407,1,83,12,0,22962,27090,27090,4128,5,6,1,1
4407,1,84,1,0,27090,32724,32724,5634,6,7,1,1
4407,1,84,2,0,32724,38393,38393,5669,7,8,1,1
4407,1,84,3,0,38393,43046,43046,4653,8,9,1,1
4407,1,84,4,0,43046,46289,46289,3243,9,10,1,1
4407,1,84,5,0,46289,51053,51053,4764,10,11,1,1
4407,1,84,6,0,51053,55643,55643,4590,11,12,1,1
4407,1,84,7,0,55643,59412,59412,3769,12,12,0,0
4407,1,84,8,0,59412,64405,64405,4993,12,13,1,1
4407,1,84,9,0,64405,69883,69883,5478,13,14,1,1
4407,1,84,10,0,69883,74763,74763,4880,14,15,1,1
4407,1,84,11,0,74763,80394,80394,5631,15,17,2,2
4407,1,84,12,0,80394,84105,84105,3711,17,17,0,0
4407,1,85,1,0,84105,86739,86739,2634,17,18,1,1
4407,1,85,2,0,86739,90150,90150,3411,18,19,1,1
4407,1,85,3,0,90150,93963,93963,3813,19,19,0,0
4407,1,85,4,0,93963,97126,97126,3163,19,20,1,1
4407,1,85,5,0,97126,100022,100022,0,20,21,1,1
4408,1,83,5,0,0,575,575,575,1,1,0,0
4408,1,83,6,0,575,2596,2596,2021,1,1,0,0
4408,1,83,7,0,2596,7068,7068,4472,1,2,1,1
4408,1,83,8,0,7068,9552,9552,2484,2,2,0,0
4408,1,83,9,0,9552,9552,9552,0,2,2,0,0
4408,1,83,10,0,9552,9552,9552,0,2,2,0,0
4408,1,83,11,0,9552,10589,10589,1037,2,3,1,1
4408,1,83,12,0,10589,14055,14055,3466,3,3,0,0
4408,1,84,1,0,14055,18502,18502,4447,3,4,1,1
4408,1,84,2,0,18502,22910,22910,4408,4,5,1,1
4408,1,84,3,0,22910,26362,26362,3452,5,6,1,1
4408,1,84,4,0,26362,31619,31619,5257,6,7,1,1
4408,1,84,5,0,31619,36302,36302,4683,7,8,1,1
4408,1,84,6,0,36302,40316,40316,4014,8,9,1,1
4408,1,84,7,0,40316,46109,46109,5793,9,10,1,1
4408,1,84,8,0,46109,50127,50127,4018,10,11,1,1
4408,1,84,9,0,50127,55132,55132,5005,11,12,1,1
4408,1,84,10,0,55132,59885,59885,4753,12,12,0,0
4408,1,84,11,0,59885,63437,63437,3552,12,13,1,1
4408,1,84,12,0,63437,66721,66721,3284,13,14,1,1
4408,1,85,1,0,66721,69248,69248,2527,14,14,0,0
4408,1,85,2,0,69248,71968,71968,2720,14,15,1,1
4408,1,85,3,0,71968,75791,75791,3823,15,16,1,1
4408,1,85,4,0,75791,79301,79301,3510,16,16,0,0
4408,1,85,5,0,79301,80777,80777,0,16,17,1,1
4409,1,83,5,0,0,504,504,504,1,1,0,0
4409,1,83,6,0,504,1929,1929,1425,1,1,0,0
4409,1,83,7,0,1929,6851,6851,4922,1,2,1,1
4409,1,83,8,0,6851,11176,11176,4325,2,3,1,1
4409,1,83,9,0,11176,16607,16607,5431,3,4,1,1
4409,1,83,10,0,16607,22331,22331,5724,4,5,1,1
4409,1,83,11,0,22331,27372,27372,5041,5,6,1,1
4409,1,83,12,0,27372,32040,32040,4668,6,7,1,1
4409,1,84,1,0,32040,38724,38724,6684,7,8,1,1
4409,1,84,2,0,38724,43782,43782,5058,8,9,1,1
4409,1,84,3,0,43782,48088,48088,4306,9,10,1,1
4409,1,84,4,0,48088,52802,52802,4714,10,11,1,1
4409,1,84,5,0,52802,56899,56899,4097,11,12,1,1
4409,1,84,6,0,56899,61476,61476,4577,12,13,1,1
4409,1,84,7,0,61476,67537,67537,6061,13,14,1,1
4409,1,84,8,0,67537,72579,72579,5042,14,15,1,1
4409,1,84,9,0,72579,79359,79359,6780,15,16,1,1
4409,1,84,10,0,79359,84539,84539,5180,16,17,1,1
4409,1,84,11,0,84539,89747,89747,5208,17,18,1,1
4409,1,84,12,0,89747,95097,95097,5350,18,20,2,2
4409,1,85,1,0,95097,100409,100409,5312,20,21,1,1
4409,1,85,2,0,100409,104848,104848,4439,21,21,0,0
4409,1,85,3,0,104848,109120,109120,4272,21,22,1,1
4409,1,85,4,0,109120,114299,114299,5179,22,23,1,1
4409,1,85,5,0,114299,120151,120151,0,23,25,2,2
4410,1,83,5,0,0,524,524,524,1,1,0,0
4410,1,83,6,0,524,3079,3079,2555,1,1,0,0
4410,1,83,7,0,3079,7579,7579,4500,1,2,1,1
4410,1,83,8,0,7579,13139,13139,5560,2,3,1,1
4410,1,83,9,0,13139,17694,17694,4555,3,4,1,1
4410,1,83,10,0,17694,21241,21241,3547,4,5,1,1
4410,1,83,11,0,21241,25864,25864,4623,5,6,1,1
4410,1,83,12,0,25864,30610,30610,4746,6,7,1,1
4410,1,84,1,0,30610,36587,36587,5977,7,8,1,1
4410,1,84,2,0,36587,40674,40674,4087,8,9,1,1
4410,1,84,3,0,40674,45544,45544,4870,9,10,1,1
4410,1,84,4,0,45544,50857,50857,5313,10,11,1,1
4410,1,84,5,0,50857,54946,54946,4089,11,11,0,0
4410,1,84,6,0,54946,60591,60591,5645,11,13,2,2
4410,1,84,7,0,60591,65775,65775,5184,13,14,1,1
4410,1,84,8,0,65775,71554,71554,5779,14,15,1,1
4410,1,84,9,0,71554,76979,76979,5425,15,16,1,1
4410,1,84,10,0,76979,80984,80984,4005,16,17,1,1
4410,1,84,11,0,80984,83764,83764,2780,17,17,0,0
4410,1,84,12,0,83764,86367,86367,2603,17,18,1,1
4410,1,85,1,0,86367,90724,90724,4357,18,19,1,1
4410,1,85,2,0,90724,94355,94355,3631,19,19,0,0
4410,1,85,3,0,94355,95898,95898,1543,19,20,1,1
4410,1,85,4,0,95898,98102,98102,2204,20,20,0,0
4410,1,85,5,0,98102,101423,101423,0,20,21,1,1
4411,1,83,5,0,0,517,517,517,1,1,0,0
4411,1,83,6,0,517,768,768,251,1,1,0,0
4411,1,83,7,0,768,5623,5623,4855,1,2,1,1
4411,1,83,8,0,5623,8762,8762,3139,2,2,0,0
4411,1,83,9,0,8762,13725,13725,4963,2,3,1,1
4411,1,83,10,0,13725,18064,18064,4339,3,4,1,1
4411,1,83,11,0,18064,22696,22696,4632,4,5,1,1
4411,1,83,12,0,22696,28531,28531,5835,5,6,1,1
4411,1,84,1,0,28531,33920,33920,5389,6,7,1,1
4411,1,84,2,0,33920,39953,39953,6033,7,8,1,1
4411,1,84,3,0,39953,43303,43303,3350,8,9,1,1
4411,1,84,4,0,43303,48642,48642,5339,9,10,1,1
4411,1,84,5,0,48642,53555,53555,4913,10,11,1,1
4411,1,84,6,0,53555,58275,58275,4720,11,12,1,1
4411,1,84,7,0,58275,62317,62317,4042,12,13,1,1
4411,1,84,8,0,62317,67822,67822,5505,13,14,1,1
4411,1,84,9,0,67822,73822,73822,6e3,14,15,1,1
4411,1,84,10,0,73822,78016,78016,4194,15,16,1,1
4411,1,84,11,0,78016,81457,81457,3441,16,17,1,1
4411,1,84,12,0,81457,86493,86493,5036,17,18,1,1
4411,1,85,1,0,86493,91128,91128,4635,18,19,1,1
4411,1,85,2,0,91128,95272,95272,4144,19,20,1,1
4411,1,85,3,0,95272,97239,97239,1967,20,20,0,0
4411,1,85,4,0,97239,98837,98837,1598,20,20,0,0
4411,1,85,5,0,98837,103872,103872,0,20,21,1,1
4412,1,83,5,0,0,491,491,491,1,1,0,0
4412,1,83,6,0,491,1314,1314,823,1,1,0,0
4412,1,83,7,0,1314,5558,5558,4244,1,2,1,1
4412,1,83,8,0,5558,10319,10319,4761,2,3,1,1
4412,1,83,9,0,10319,15020,15020,4701,3,4,1,1
4412,1,83,10,0,15020,19582,19582,4562,4,4,0,0
4412,1,83,11,0,19582,23758,23758,4176,4,5,1,1
4412,1,83,12,0,23758,28834,28834,5076,5,6,1,1
4412,1,84,1,0,28834,33527,33527,4693,6,7,1,1
4412,1,84,2,0,33527,38300,38300,4773,7,8,1,1
4412,1,84,3,0,38300,43122,43122,4822,8,9,1,1
4412,1,84,4,0,43122,46587,46587,3465,9,10,1,1
4412,1,84,5,0,46587,52006,52006,5419,10,11,1,1
4412,1,84,6,0,52006,55752,55752,3746,11,12,1,1
4412,1,84,7,0,55752,60709,60709,4957,12,13,1,1
4412,1,84,8,0,60709,66117,66117,5408,13,14,1,1
4412,1,84,9,0,66117,71034,71034,4917,14,15,1,1
4412,1,84,10,0,71034,76996,76996,5962,15,16,1,1
4412,1,84,11,0,76996,83086,83086,6090,16,17,1,1
4412,1,84,12,0,83086,87424,87424,4338,17,18,1,1
4412,1,85,1,0,87424,93754,93754,6330,18,19,1,1
4412,1,85,2,0,93754,97777,97777,4023,19,20,1,1
4412,1,85,3,0,97777,100373,100373,2596,20,21,1,1
4412,1,85,4,0,100373,103421,103421,3048,21,21,0,0
4412,1,85,5,0,103421,106467,106467,0,21,22,1,1
4413,1,83,5,0,0,483,483,483,1,1,0,0
4413,1,83,6,0,483,1143,1143,660,1,1,0,0
4413,1,83,7,0,1143,4874,4874,3731,1,1,0,0
4413,1,83,8,0,4874,9467,9467,4593,1,2,1,1
4413,1,83,9,0,9467,14766,14766,5299,2,3,1,1
4413,1,83,10,0,14766,18992,18992,4226,3,4,1,1
4413,1,83,11,0,18992,23631,23631,4639,4,5,1,1
4413,1,83,12,0,23631,29964,29964,6333,5,6,1,1
4413,1,84,1,0,29964,35342,35342,5378,6,8,2,2
4413,1,84,2,0,35342,40776,40776,5434,8,9,1,1
4413,1,84,3,0,40776,43613,43613,2837,9,9,0,0
4413,1,84,4,0,43613,48229,48229,4616,9,10,1,1
4413,1,84,5,0,48229,53088,53088,4859,10,11,1,1
4413,1,84,6,0,53088,56162,56162,3074,11,12,1,1
4413,1,84,7,0,56162,60175,60175,4013,12,13,1,1
4413,1,84,8,0,60175,65437,65437,5262,13,14,1,1
4413,1,84,9,0,65437,70991,70991,5554,14,15,1,1
4413,1,84,10,0,70991,75425,75425,4434,15,16,1,1
4413,1,84,11,0,75425,80302,80302,4877,16,17,1,1
4413,1,84,12,0,80302,84302,84302,4e3,17,17,0,0
4413,1,85,1,0,84302,89370,89370,5068,17,18,1,1
4413,1,85,2,0,89370,93012,93012,3642,18,19,1,1
4413,1,85,3,0,93012,96718,96718,3706,19,20,1,1
4413,1,85,4,0,96718,101220,101220,4502,20,21,1,1
4413,1,85,5,0,101220,104336,104336,0,21,21,0,0
4414,1,83,5,0,0,518,518,518,1,1,0,0
4414,1,83,6,0,518,2237,2237,1719,1,1,0,0
4414,1,83,7,0,2237,6609,6609,4372,1,2,1,1
4414,1,83,8,0,6609,10743,10743,4134,2,3,1,1
4414,1,83,9,0,10743,14366,14366,3623,3,3,0,0
4414,1,83,10,0,14366,19245,19245,4879,3,4,1,1
4414,1,83,11,0,19245,23842,23842,4597,4,5,1,1
4414,1,83,12,0,23842,27637,27637,3795,5,6,1,1
4414,1,84,1,0,27637,33156,33156,5519,6,7,1,1
4414,1,84,2,0,33156,37356,37356,4200,7,8,1,1
4414,1,84,3,0,37356,40793,40793,3437,8,9,1,1
4414,1,84,4,0,40793,45311,45311,4518,9,10,1,1
4414,1,84,5,0,45311,49142,49142,3831,10,10,0,0
4414,1,84,6,0,49142,53101,53101,3959,10,11,1,1
4414,1,84,7,0,53101,57286,57286,4185,11,12,1,1
4414,1,84,8,0,57286,62091,62091,4805,12,13,1,1
4414,1,84,9,0,62091,66642,66642,4551,13,14,1,1
4414,1,84,10,0,66642,71118,71118,4476,14,15,1,1
4414,1,84,11,0,71118,74699,74699,3581,15,15,0,0
4414,1,84,12,0,74699,78061,78061,3362,15,16,1,1
4414,1,85,1,0,78061,82123,82123,4062,16,17,1,1
4414,1,85,2,0,82123,85432,85432,3309,17,18,1,1
4414,1,85,3,0,85432,88936,88936,3504,18,18,0,0
4414,1,85,4,0,88936,93554,93554,4618,18,19,1,1
4414,1,85,5,0,93554,97378,97378,0,19,20,1,1
4415,1,83,5,0,0,523,523,523,1,1,0,0
4415,1,83,6,0,523,3118,3118,2595,1,1,0,0
4415,1,83,7,0,3118,8248,8248,5130,1,2,1,1
4415,1,83,8,0,8248,13144,13144,4896,2,3,1,1
4415,1,83,9,0,13144,17749,17749,4605,3,4,1,1
4415,1,83,10,0,17749,22804,22804,5055,4,5,1,1
4415,1,83,11,0,22804,27282,27282,4478,5,6,1,1
4415,1,83,12,0,27282,31787,31787,4505,6,7,1,1
4415,1,84,1,0,31787,36950,36950,5163,7,8,1,1
4415,1,84,2,0,36950,41983,41983,5033,8,9,1,1
4415,1,84,3,0,41983,45998,45998,4015,9,10,1,1
4415,1,84,4,0,45998,50748,50748,4750,10,11,1,1
4415,1,84,5,0,50748,56224,56224,5476,11,12,1,1
4415,1,84,6,0,56224,60613,60613,4389,12,13,1,1
4415,1,84,7,0,60613,65944,65944,5331,13,14,1,1
4415,1,84,8,0,65944,70750,70750,4806,14,15,1,1
4415,1,84,9,0,70750,76125,76125,5375,15,16,1,1
4415,1,84,10,0,76125,80916,80916,4791,16,17,1,1
4415,1,84,11,0,80916,86590,86590,5674,17,18,1,1
4415,1,84,12,0,86590,91785,91785,5195,18,19,1,1
4415,1,85,1,0,91785,96065,96065,4280,19,20,1,1
4415,1,85,2,0,96065,100788,100788,4723,20,21,1,1
4415,1,85,3,0,100788,105324,105324,4536,21,22,1,1
4415,1,85,4,0,105324,108428,108428,3104,22,22,0,0
4415,1,85,5,0,108428,113621,113621,0,22,23,1,1
4416,1,83,5,0,0,531,531,531,1,1,0,0
4416,1,83,6,0,531,940,940,409,1,1,0,0
4416,1,83,7,0,940,5007,5007,4067,1,2,1,1
4416,1,83,8,0,5007,9208,9208,4201,2,2,0,0
4416,1,83,9,0,9208,13323,13323,4115,2,3,1,1
4416,1,83,10,0,13323,18330,18330,5007,3,4,1,1
4416,1,83,11,0,18330,23118,23118,4788,4,5,1,1
4416,1,83,12,0,23118,27032,27032,3914,5,6,1,1
4416,1,84,1,0,27032,32209,32209,5177,6,7,1,1
4416,1,84,2,0,32209,36674,36674,4465,7,8,1,1
4416,1,84,3,0,36674,41660,41660,4986,8,9,1,1
4416,1,84,4,0,41660,46248,46248,4588,9,10,1,1
4416,1,84,5,0,46248,50131,50131,3883,10,11,1,1
4416,1,84,6,0,50131,54981,54981,4850,11,11,0,0
4416,1,84,7,0,54981,58925,58925,3944,11,12,1,1
4416,1,84,8,0,58925,64687,64687,5762,12,13,1,1
4416,1,84,9,0,64687,69503,69503,4816,13,14,1,1
4416,1,84,10,0,69503,73474,73474,3971,14,15,1,1
4416,1,84,11,0,73474,79438,79438,5964,15,16,1,1
4416,1,84,12,0,79438,82675,82675,3237,16,17,1,1
4416,1,85,1,0,82675,87327,87327,4652,17,18,1,1
4416,1,85,2,0,87327,92258,92258,4931,18,19,1,1
4416,1,85,3,0,92258,96790,96790,4532,19,20,1,1
4416,1,85,4,0,96790,100781,100781,3991,20,21,1,1
4416,1,85,5,0,100781,106094,106094,0,21,22,1,1
4417,1,83,5,0,0,545,545,545,1,1,0,0
4417,1,83,6,0,545,905,905,360,1,1,0,0
4417,1,83,7,0,905,5110,5110,4205,1,2,1,1
4417,1,83,8,0,5110,8941,8941,3831,2,2,0,0
4417,1,83,9,0,8941,13657,13657,4716,2,3,1,1
4417,1,83,10,0,13657,17594,17594,3937,3,4,1,1
4417,1,83,11,0,17594,21170,21170,3576,4,5,1,1
4417,1,83,12,0,21170,25046,25046,3876,5,6,1,1
4417,1,84,1,0,25046,28851,28851,3805,6,6,0,0
4417,1,84,2,0,28851,32405,32405,3554,6,7,1,1
4417,1,84,3,0,32405,35806,35806,3401,7,8,1,1
4417,1,84,4,0,35806,39057,39057,3251,8,8,0,0
4417,1,84,5,0,39057,43719,43719,4662,8,9,1,1
4417,1,84,6,0,43719,48338,48338,4619,9,10,1,1
4417,1,84,7,0,48338,53325,53325,4987,10,11,1,1
4417,1,84,8,0,53325,56927,56927,3602,11,12,1,1
4417,1,84,9,0,56927,62426,62426,5499,12,13,1,1
4417,1,84,10,0,62426,66774,66774,4348,13,14,1,1
4417,1,84,11,0,66774,70233,70233,3459,14,15,1,1
4417,1,84,12,0,70233,74987,74987,4754,15,15,0,0
4417,1,85,1,0,74987,78971,78971,3984,15,16,1,1
4417,1,85,2,0,78971,81774,81774,2803,16,17,1,1
4417,1,85,3,0,81774,85819,85819,4045,17,18,1,1
4417,1,85,4,0,85819,90131,90131,4312,18,19,1,1
4417,1,85,5,0,90131,94311,94311,0,19,19,0,0
2386,2,81,5,0,0,2208,2208,2208,1,1,0,0
2386,2,81,6,0,2208,5418,5418,3210,1,2,1,1
2386,2,81,7,0,5418,8547,8547,3129,2,2,0,0
2386,2,81,8,0,8547,11566,11566,3019,2,3,1,1
2386,2,81,9,0,11566,15890,15890,4324,3,4,1,1
2386,2,81,10,0,15890,19434,19434,3544,4,4,0,0
2386,2,81,11,0,19434,23e3,23e3,3566,4,5,1,1
2386,2,81,12,0,23e3,26282,26282,3282,5,6,1,1
2386,2,82,1,0,26282,30322,30322,4040,6,7,1,1
2386,2,82,2,0,30322,34604,34604,4282,7,7,0,0
2386,2,82,3,0,34604,36784,36784,2180,7,8,1,1
2386,2,82,4,0,36784,40160,40160,3376,8,9,1,1
2386,2,82,5,0,40160,43337,43337,3177,9,9,0,0
2386,2,82,6,0,43337,46509,46509,3172,9,10,1,1
2386,2,82,7,0,46509,50725,50725,4216,10,11,1,1
2386,2,82,8,0,50725,52691,52691,1966,11,11,0,0
2386,2,82,9,0,52691,55462,55462,2771,11,12,1,1
2386,2,82,10,0,55462,58783,58783,3321,12,12,0,0
2386,2,82,11,0,58783,61836,61836,3053,12,13,1,1
2386,2,82,12,0,61836,65962,65962,4126,13,14,1,1
2386,2,83,1,0,65962,68025,68025,2063,14,14,0,0
2386,2,83,2,0,68025,71889,71889,3864,14,15,1,1
2386,2,83,3,0,71889,75621,75621,3732,15,16,1,1
2386,2,83,4,0,75621,79345,79345,3724,16,16,0,0
2386,2,83,5,0,79345,83168,83168,3823,16,17,1,1
2386,2,83,6,0,83168,84875,84875,1707,17,17,0,0
2386,2,83,7,0,84875,88408,88408,3533,17,18,1,1
2386,2,83,8,0,88408,91674,91674,3266,18,19,1,1
2386,2,83,9,0,91674,93120,93120,1446,19,19,0,0
2386,2,83,10,0,93120,95787,95787,2667,19,20,1,1
2386,2,83,11,0,95787,97897,97897,2110,20,20,0,0
2386,2,83,12,0,97897,101050,101050,3153,20,21,1,1
2386,2,84,1,0,101050,104843,104843,3793,21,21,0,0
2386,2,84,2,0,104843,109452,109452,4609,21,22,1,1
2386,2,84,3,0,109452,113084,113084,3632,22,23,1,1
2386,2,84,4,0,113084,117360,117360,4276,23,24,1,1
2386,2,84,5,0,117360,121154,121154,3794,24,25,1,1
2386,2,84,6,0,121154,124959,124959,3805,25,25,0,0
2386,2,84,7,0,124959,129324,129324,4365,25,26,1,1
2386,2,84,8,0,129324,133099,133099,3775,26,27,1,1
2386,2,84,9,0,133099,136493,136493,3394,27,28,1,1
2386,2,84,10,0,136493,139512,139512,3019,28,28,0,0
2386,2,84,11,0,139512,140871,140871,1359,28,29,1,1
2386,2,84,12,0,140871,142747,142747,1876,29,29,0,0
2386,2,85,1,0,142747,145533,145533,2786,29,30,1,1
2386,2,85,2,0,145533,148197,148197,2664,30,30,0,0
2386,2,85,3,0,148197,149386,149386,1189,30,30,0,0
2386,2,85,4,0,149386,151441,151441,2055,30,31,1,1
2386,2,85,5,0,151441,153767,153767,0,31,31,0,0
2387,2,81,5,0,0,1976,1976,1976,1,1,0,0
2387,2,81,6,0,1976,5569,5569,3593,1,2,1,1
2387,2,81,7,0,5569,9928,9928,4359,2,2,0,0
2387,2,81,8,0,9928,13209,13209,3281,2,3,1,1
2387,2,81,9,0,13209,16522,16522,3313,3,4,1,1
2387,2,81,10,0,16522,20220,20220,3698,4,5,1,1
2387,2,81,11,0,20220,24035,24035,3815,5,5,0,0
2387,2,81,12,0,24035,26901,26901,2866,5,6,1,1
2387,2,82,1,0,26901,30469,30469,3568,6,7,1,1
2387,2,82,2,0,30469,34673,34673,4204,7,7,0,0
2387,2,82,3,0,34673,36876,36876,2203,7,8,1,1
2387,2,82,4,0,36876,40152,40152,3276,8,9,1,1
2387,2,82,5,0,40152,44054,44054,3902,9,9,0,0
2387,2,82,6,0,44054,47516,47516,3462,9,10,1,1
2387,2,82,7,0,47516,50254,50254,2738,10,11,1,1
2387,2,82,8,0,50254,52832,52832,2578,11,11,0,0
2387,2,82,9,0,52832,56421,56421,3589,11,12,1,1
2387,2,82,10,0,56421,57575,57575,1154,12,12,0,0
2387,2,82,11,0,57575,60233,60233,2658,12,13,1,1
2387,2,82,12,0,60233,63914,63914,3681,13,13,0,0
2387,2,83,1,0,63914,65689,65689,1775,13,14,1,1
2387,2,83,2,0,65689,69476,69476,3787,14,14,0,0
2387,2,83,3,0,69476,73288,73288,3812,14,15,1,1
2387,2,83,4,0,73288,76988,76988,3700,15,16,1,1
2387,2,83,5,0,76988,79926,79926,2938,16,16,0,0
2387,2,83,6,0,79926,83432,83432,3506,16,17,1,1
2387,2,83,7,0,83432,86329,86329,2897,17,18,1,1
2387,2,83,8,0,86329,90053,90053,3724,18,19,1,1
